Epoch 126 | learning rate: 0.0024 | Train Loss: 0.8522 | Train Acc: 0.7182 | Valid Loss: 1.2760 | Valid Acc: 0.5614 | Epoch Time: 4.15 s
Epoch 127 | learning rate: 0.0024 | Train Loss: 0.8502 | Train Acc: 0.7184 | Valid Loss: 1.2783 | Valid Acc: 0.5630 | Epoch Time: 3.85 s
Epoch 128 | learning rate: 0.0023 | Train Loss: 0.8491 | Train Acc: 0.7182 | Valid Loss: 1.2817 | Valid Acc: 0.5652 | Epoch Time: 3.12 s
Epoch 129 | learning rate: 0.0023 | Train Loss: 0.8480 | Train Acc: 0.7198 | Valid Loss: 1.2771 | Valid Acc: 0.5652 | Epoch Time: 3.15 s
Epoch 130 | learning rate: 0.0022 | Train Loss: 0.8472 | Train Acc: 0.7197 | Valid Loss: 1.2821 | Valid Acc: 0.5638 | Epoch Time: 3.22 s
Epoch 131 | learning rate: 0.0022 | Train Loss: 0.8453 | Train Acc: 0.7217 | Valid Loss: 1.2766 | Valid Acc: 0.5648 | Epoch Time: 3.15 s
Epoch 132 | learning rate: 0.0022 | Train Loss: 0.8447 | Train Acc: 0.7208 | Valid Loss: 1.2767 | Valid Acc: 0.5672 | Epoch Time: 3.13 s
Epoch 133 | learning rate: 0.0021 | Train Loss: 0.8428 | Train Acc: 0.7217 | Valid Loss: 1.2802 | Valid Acc: 0.5628 | Epoch Time: 2.98 s
Epoch 134 | learning rate: 0.0021 | Train Loss: 0.8419 | Train Acc: 0.7222 | Valid Loss: 1.2750 | Valid Acc: 0.5664 | Epoch Time: 3.03 s
Epoch 135 | learning rate: 0.0020 | Train Loss: 0.8404 | Train Acc: 0.7236 | Valid Loss: 1.2771 | Valid Acc: 0.5682 | Epoch Time: 3.16 s
Epoch 136 | learning rate: 0.0020 | Train Loss: 0.8395 | Train Acc: 0.7234 | Valid Loss: 1.2768 | Valid Acc: 0.5634 | Epoch Time: 3.22 s
Epoch 137 | learning rate: 0.0019 | Train Loss: 0.8385 | Train Acc: 0.7237 | Valid Loss: 1.2780 | Valid Acc: 0.5636 | Epoch Time: 3.03 s
Epoch 138 | learning rate: 0.0019 | Train Loss: 0.8374 | Train Acc: 0.7243 | Valid Loss: 1.2783 | Valid Acc: 0.5652 | Epoch Time: 3.15 s
Epoch 139 | learning rate: 0.0018 | Train Loss: 0.8365 | Train Acc: 0.7247 | Valid Loss: 1.2816 | Valid Acc: 0.5608 | Epoch Time: 3.15 s
Epoch 140 | learning rate: 0.0018 | Train Loss: 0.8352 | Train Acc: 0.7250 | Valid Loss: 1.2765 | Valid Acc: 0.5630 | Epoch Time: 3.08 s
Epoch 141 | learning rate: 0.0017 | Train Loss: 0.8343 | Train Acc: 0.7252 | Valid Loss: 1.2787 | Valid Acc: 0.5656 | Epoch Time: 3.11 s
Epoch 142 | learning rate: 0.0017 | Train Loss: 0.8332 | Train Acc: 0.7251 | Valid Loss: 1.2821 | Valid Acc: 0.5656 | Epoch Time: 3.03 s
Epoch 143 | learning rate: 0.0016 | Train Loss: 0.8324 | Train Acc: 0.7260 | Valid Loss: 1.2754 | Valid Acc: 0.5660 | Epoch Time: 3.11 s
Epoch 144 | learning rate: 0.0016 | Train Loss: 0.8312 | Train Acc: 0.7265 | Valid Loss: 1.2808 | Valid Acc: 0.5638 | Epoch Time: 3.23 s
Epoch 145 | learning rate: 0.0015 | Train Loss: 0.8303 | Train Acc: 0.7262 | Valid Loss: 1.2791 | Valid Acc: 0.5668 | Epoch Time: 3.28 s
Epoch 146 | learning rate: 0.0015 | Train Loss: 0.8297 | Train Acc: 0.7268 | Valid Loss: 1.2767 | Valid Acc: 0.5664 | Epoch Time: 3.22 s
Epoch 147 | learning rate: 0.0015 | Train Loss: 0.8292 | Train Acc: 0.7272 | Valid Loss: 1.2752 | Valid Acc: 0.5698 | Epoch Time: 3.21 s
Epoch 148 | learning rate: 0.0015 | Train Loss: 0.8281 | Train Acc: 0.7283 | Valid Loss: 1.2803 | Valid Acc: 0.5628 | Epoch Time: 3.36 s
Epoch 149 | learning rate: 0.0015 | Train Loss: 0.8274 | Train Acc: 0.7285 | Valid Loss: 1.2760 | Valid Acc: 0.5678 | Epoch Time: 3.86 s
Epoch 150 | learning rate: 0.0014 | Train Loss: 0.8261 | Train Acc: 0.7289 | Valid Loss: 1.2751 | Valid Acc: 0.5686 | Epoch Time: 4.25 s
Epoch 151 | learning rate: 0.0014 | Train Loss: 0.8255 | Train Acc: 0.7290 | Valid Loss: 1.2797 | Valid Acc: 0.5636 | Epoch Time: 4.12 s
Epoch 152 | learning rate: 0.0013 | Train Loss: 0.8249 | Train Acc: 0.7291 | Valid Loss: 1.2790 | Valid Acc: 0.5648 | Epoch Time: 4.19 s
Epoch 153 | learning rate: 0.0013 | Train Loss: 0.8241 | Train Acc: 0.7283 | Valid Loss: 1.2784 | Valid Acc: 0.5636 | Epoch Time: 4.03 s
Epoch 154 | learning rate: 0.0012 | Train Loss: 0.8231 | Train Acc: 0.7303 | Valid Loss: 1.2765 | Valid Acc: 0.5680 | Epoch Time: 4.13 s
Epoch 155 | learning rate: 0.0012 | Train Loss: 0.8224 | Train Acc: 0.7291 | Valid Loss: 1.2766 | Valid Acc: 0.5658 | Epoch Time: 3.97 s
Epoch 156 | learning rate: 0.0012 | Train Loss: 0.8217 | Train Acc: 0.7304 | Valid Loss: 1.2813 | Valid Acc: 0.5638 | Epoch Time: 4.15 s
Epoch 157 | learning rate: 0.0012 | Train Loss: 0.8214 | Train Acc: 0.7305 | Valid Loss: 1.2786 | Valid Acc: 0.5680 | Epoch Time: 4.37 s
Epoch 158 | learning rate: 0.0011 | Train Loss: 0.8207 | Train Acc: 0.7314 | Valid Loss: 1.2795 | Valid Acc: 0.5668 | Epoch Time: 4.24 s
Epoch 159 | learning rate: 0.0011 | Train Loss: 0.8197 | Train Acc: 0.7318 | Valid Loss: 1.2780 | Valid Acc: 0.5678 | Epoch Time: 4.33 s
